compléter;6;10;6;1;36;13
réduire;8;4;8;9;13;24
romain;2;3;0;30;6;25
phrase;0;1;1;12;12;10
inventaire;3;11;3;2;48;1
fixer;7;6;8;4;13;27
dépôt;19;32;1;0;14;2
double;2;10;16;4;15;17
distribution;13;25;3;2;21;4
concevoir;4;8;30;6;11;8
commercial;21;23;7;5;10;5
éviter;1;2;11;2;15;29
synthétique;0;4;15;0;35;1
graphique;4;1;12;3;12;32
dossier;2;8;1;0;56;1
considérable;19;5;9;8;23;7
comparer;1;4;26;7;15;7
utilisation;3;14;12;0;28;8
rapporter;9;7;5;11;16;5
jeu;1;1;11;13;0;24
fonder;17;18;14;13;3;3
direct;2;5;16;7;14;18
naître;9;7;15;25;3;7
avantage;3;5;7;9;30;14
atteindre;7;1;32;8;3;17
atlas;2;5;0;0;38;12
vrai;3;0;18;30;4;3
publicité;29;11;3;7;8;5
psychologie;3;1;49;3;4;0
procéder;5;7;22;5;14;8
possibilité;1;10;27;2;15;10
observation;1;1;35;8;11;6
enregistrer;3;3;8;5;17;29
désigner;7;9;2;6;22;17
cadre;0;10;8;1;41;5
blanc;1;1;1;2;6;50
retrouver;4;4;17;9;23;3
rester;10;2;20;8;7;17
r;9;8;6;11;8;5
précis;2;3;11;3;9;6
milieu;2;4;22;7;8;19
inscription;4;2;2;2;19;34
imposer;4;6;17;12;3;13
directement;6;7;20;7;6;14
diffusion;11;22;19;5;6;4
voie;2;14;7;11;9;12
religieux;7;3;3;40;5;5
exact;1;3;27;6;12;13
enregistrement;1;11;12;2;13;21
définir;2;4;19;7;15;3
colonne;9;3;0;1;30;15
choix;5;5;7;3;33;10
artiste;4;2;9;29;5;15
aider;2;9;22;11;11;9
adopter;8;6;4;7;32;8
transformer;5;12;9;4;6;19
transformation;3;8;20;3;8;18
tirage;28;2;1;0;18;11
sentiment;2;0;27;11;0;3
renseignement;9;11;2;4;32;3
postal;25;10;1;0;4;17
intérieur;5;12;15;9;11;12
intéresser;12;8;15;12;16;3
