"";"x"
"1595";0
"1596";3
"1597";6
"1598";4
"1599";3
"1600";0
"1601";3
"1602";4
"1603";4
"1604";6
"1605";6
"1606";6
"1607";3
"1608";4
"1609";4
"1610";4
"1611";4
"1612";4
"1613";4
"1614";4
"1615";4
"1616";4
"1617";4
"1618";4
"1619";6
"1620";0
"1621";4
"1622";6
"1623";6
"1624";6
"1625";0
"1626";3
"1627";6
"1628";6
"1629";6
"1630";6
"1631";3
"1632";6
"1633";6
"1634";2
"1635";0
"1636";6
"1637";6
"1638";6
"1639";6
"1640";0
"1641";6
"1642";6
"1643";6
"1644";0
"1645";5
"1646";0
"1647";5
"1648";6
"1649";6
"1650";0
"1651";5
"1652";6
"1653";5
"1654";5
"1655";3
"1656";0
"1657";6
"1658";0
"1659";6
"1660";3
"1661";6
"1662";6
"1663";0
"1664";6
"1665";6
"1666";6
"1667";6
"1668";6
"1669";6
"1670";6
"1671";6
"1672";4
"1673";6
"1674";6
"1675";6
"1676";6
"1677";6
"1678";4
"1679";6
"1680";6
"1681";6
"1682";3
"1683";3
"1684";4
"1685";6
"1686";4
"1687";6
"1688";6
"1689";3
"1690";4
"1691";4
"1692";6
"1693";6
"1694";6
"1695";5
"1696";3
"1697";3
"1698";4
"1699";6
"1700";3
"1701";6
"1702";6
"1703";6
"1704";4
"1705";6
"1706";5
"1707";6
"1708";6
"1709";6
"1710";6
"1711";6
"1712";1
"1713";1
"1714";6
"1715";5
"1716";6
"1717";5
"1718";5
"1719";5
"1720";6
"1721";5
"1722";6
"1723";5
"1724";5
"1725";3
"1726";5
"1727";6
"1728";5
"1729";6
"1730";5
"1731";6
"1732";6
"1733";3
"1734";3
"1735";3
"1736";6
"1737";6
"1738";4
"1739";4
"1740";4
"1741";3
"1742";3
"1743";6
"1744";3
"1745";2
"1746";0
"1747";0
"1748";0
"1749";4
"1750";3
"1751";3
"1752";4
"1753";4
"1754";0
"1755";3
"1756";4
"1757";4
"1758";0
"1759";0
"1760";0
"1761";4
"1762";4
"1763";4
"1764";3
"1765";3
"1766";4
"1767";3
"1768";0
"1769";3
"1770";3
"1771";4
"1772";0
"1773";0
"1774";4
"1775";3
"1776";4
"1777";4
"1778";4
"1779";0
"1780";3
"1781";3
"1782";4
"1783";3
"1784";3
"1785";0
"1786";3
"1787";3
"1788";3
"1789";0
"1790";3
"1791";0
"1792";4
"1793";0
"1794";4
"1795";4
"1796";4
"1797";4
"1798";4
"1799";6
"1800";0
"1801";0
"1802";0
"1803";4
"1804";4
"1805";0
"1806";6
"1807";4
"1808";0
"1809";4
"1810";4
"1811";0
"1812";6
"1813";4
"1814";4
"1815";4
"1816";4
"1817";4
"1818";4
"1819";4
"1820";4
"1821";4
"1822";1
"1823";4
"1824";4
"1825";3
"1826";1
"1827";4
"1828";4
"1829";6
"1830";0
"1831";4
"1832";4
"1833";4
"1834";6
"1835";1
"1836";4
"1837";4
"1838";1
"1839";6
"1840";4
"1841";0
"1842";2
"1843";2
"1844";2
"1845";4
"1846";4
"1847";4
"1848";0
"1849";3
"1850";4
"1851";4
"1852";4
"1853";0
"1854";0
