"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"représentation";-7,107;-5,829;0,568;-0,296;-16,738;72,318
"reliure";-0,548;-7,59;-6,538;-11,072;74,914;-1,283
"maison";217,065;0,033;-12,006;-3,45;-16,725;-9,099
"dimension";-7,942;-3,544;-3,365;-10,03;-0,572;86,363
"annuaire";20,972;33,203;-10,441;-11,072;1,315;-15,735
"économique";0,484;55,174;0,38;-1,511;-12,869;-6,065
"espace";-6,037;-0,683;13,054;-6,221;-2,495;10,934
"côté";0,042;-1,042;1,912;-7,011;1,771;0,097
"classer";-5,371;-5,972;0,131;-1,657;52,531;-9,592
"acquérir";5,281;-0,187;39,339;-6,065;-10,118;-3,013
"poursuivre";-5,021;9,393;1,912;12,484;-2,527;-11,914
"poser";-5,637;-0,496;33,799;-4,223;-2,843;0,646
"indice";-9,684;-10,373;-9,137;-11,758;180,972;-12,085
"décrire";-9,543;-6,115;0,931;-1,763;21,01;-0,003
"catégorie";-2,042;0,469;-0,186;-3,378;7,706;-0,149
"aide";-0,673;-1,821;-0,403;-1,657;-0,515;18,904
"privé";3,807;176,322;-12,791;-7,011;-11,89;-11,914
"local";-2,08;177,714;-10,094;-2,437;-7,7;-7,607
"existant";-0,424;7,253;0,532;-8,012;6,44;-7,181
