"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"publication";-1,43272304836859;-0,374871389939433;-0,290330296978815;-0,403850127181983;0,196971493904532;-0,90988860235915;-0,238071974513718;-0,184381921154528;-0,256475686771841;0,125091948159461;0,879438300985855;0,0479201556218918;0,0267768440662732;0,0385914772947184;0,00727322203126319;0,00546854704212398;0,000374379491758926;0,000224559883390643;0,000434498123732122;0,00010336040800054;0,00266408119770103;0,77498531615873;0,00160005313557817
"ex";-0,282831517743505;-0,764529798229281;-0,334173637710248;-0,533235852495956;0,345500815921705;-0,260380448763917;-0,703841684775948;-0,307647048837658;-0,490907773212963;0,318075079523413;0,0955387686954237;0,555629904365256;0,0988922358856273;0,187556789547723;0,0623823015059706;0,00021241090524994;0,00155206546620262;0,000296527908414234;0,000755022484964755;0,000316970873259433;0,00265534650524955;0,46416447504373;0,00057209084610657
"page";-0,653332087723399;-1,49625349798776;-0,312170641360921;-1,05908344383175;-0,0683460440699935;-0,331278204394872;-0,758689465047041;-0,158289071481553;-0,537018260957447;-0,0346555070269041;0,147059035417156;0,613913012911044;0,0248943987097725;0,213429363198891;0,000704189763135589;0,00104020706375343;0,00545584695016973;0,000237484863672634;0,00273345657756044;1,13835727116405e-05;0,00243697919396258;0,864215490500627;0,00182010278559759
"texte";0,69415084230967;-1,06224124566734;-0,584006021273879;-0,202322893409457;0,382547811699345;0,474673444115371;-0,726380607541463;-0,399354337134866;-0,138352212205788;0,261593412051381;0,280230033583603;0,522307228008186;0,147073832789761;0,0131482241161857;0,0372406815022655;0,00119529105125255;0,00279906045957687;0,0008460589184625;0,000101544408120741;0,000363025725582272;0,00248065265621997;0,665166593976626;0,00109755632792534
"titre";-1,16207136496561;-1,59208368419497;-0,0652751887515204;-0,97964889581636;0,2472355997798;-0,524422725407004;-0,718479854089047;-0,0294575646716344;-0,442098617498575;0,111573153734836;0,343806777830083;0,513633526723633;0,000804338578414293;0,134945937950539;0,00680941891733127;0,00297244452625478;0,00557930293035758;9,37873859834169e-06;0,0021124627787389;0,000134545807637758;0,00220114249777265;1,00533197805554;0,0022246779632223
"histoire";0,386226054828175;0,548325459997691;1,00214345410599;-0,519121793715936;0,145917302048461;0,292385631177261;0,415100130371348;0,758655048503387;-0,392992009254869;0,110464123084867;0,115521521689734;0,185323005213485;0,576677948748334;0,115262587163661;0,00721493718478403;0,000343981179122583;0,000693311442984848;0,00231585483542422;0,000621426928110552;4,90981498680614e-05;0,0023059588071904;0,576426624081179;0,00076619552066367
"constituer";-0,712923004146208;-0,365255465768886;0,154346769444924;0,476946443764261;0,288496486675467;-0,721560616940306;-0,369680817827791;0,156216799760585;0,482725018281844;0,291991844420789;0,639994448668145;0,13370792309485;0,0222423069403229;0,158197732639331;0,0458575886573518;0,00131408841354308;0,000344931435818506;6,1593433873775e-05;0,000588137077240319;0,000215189158114792;0,00258546896563772;0,45205204619183;0,000528343304246818
"caractère";1,02242379058801;-0,491687697494719;-0,705421555489764;0,325832631900588;-0,0266489083486177;0,74338852517405;-0,357498520331388;-0,512901102839094;0,23690786727767;-0,0193760091041935;0,627579075804545;0,115520215969094;0,221512279716099;0,0352018744885928;0,000186554021672077;0,00250184312205457;0,000578597915655525;0,00119095577136235;0,000254089859887552;1,6996403283494e-06;0,00239330573170519;0,654682350792553;0,00102579232954561
"intellectuel";-0,380908782807952;0,725873595528065;1,18493808938366;1,47965319358955;0,459824458667626;-0,180025295869939;0,343062734956681;0,560026021338568;0,699314418526186;0,217322461324318;0,0499070259421433;0,144249547823779;0,358100418740443;0,415919865202072;0,0318231422915629;0,000347248320534777;0,00126101478444217;0,00336038858492901;0,0052398403218222;0,000506037052427189;0,00239330573170519;0,864916248267711;0,001790384430636
"image";1,84953036896895;-0,804650586546388;-1,52017616530238;0,82706321748049;0,231887425986187;0,6932885362954;-0,301619825624689;-0,569831523848492;0,310021104325235;0,0869220083349549;0,5653311072048;0,0851662176029222;0,283179349247184;0,0624349024710551;0,00388842347404144;0,00711127557435619;0,00134598196120232;0,0048041041394207;0,00142200783186403;0,000111783827216068;0,00207885680345195;1,24779700703128;0,00323677457715336
